question_id,cell,gt,condition,template,pred,logit_yes,logit_no,margin,tie,correct,image1_id,image2_id,seq_len,img1_span,img2_span,elapsed_ms,ts
540,3,no,S,primary,no,22.75,26.5,-3.75,False,True,498374,7795,427,,,314,2026-08-11T22:30:25+09:00
540,3,no,T0,primary,no,20.75,24.125,-3.375,False,True,498374,7795,775,"[14, 406]","[407, 753]",629,2026-08-11T22:30:25+09:00
898,3,no,S,primary,no,22.125,31.125,-9.0,False,True,354398,501898,428,,,314,2026-08-11T22:30:26+09:00
898,3,no,T0,primary,no,22.0,28.625,-6.625,False,True,354398,501898,776,"[14, 406]","[407, 753]",625,2026-08-11T22:30:26+09:00
2632,3,no,S,primary,no,21.75,30.625,-8.875,False,True,117527,383389,381,,,268,2026-08-11T22:30:27+09:00
2632,3,no,T0,primary,no,22.125,28.625,-6.5,False,True,117527,383389,775,"[14, 360]","[361, 753]",628,2026-08-11T22:30:27+09:00
1602,3,no,S,primary,yes,24.25,23.625,0.625,False,False,309371,333888,497,,,346,2026-08-11T22:30:28+09:00
1602,3,no,T0,primary,no,22.25,23.25,-1.0,False,True,309371,333888,891,"[14, 475]","[476, 868]",733,2026-08-11T22:30:28+09:00
1962,3,no,S,primary,no,22.5,31.625,-9.125,False,True,418471,29563,427,,,315,2026-08-11T22:30:29+09:00
1962,3,no,T0,primary,no,21.125,27.5,-6.375,False,True,418471,29563,775,"[14, 406]","[407, 753]",628,2026-08-11T22:30:29+09:00
2156,3,no,S,primary,no,21.625,27.375,-5.75,False,True,279499,330604,381,,,268,2026-08-11T22:30:30+09:00
2156,3,no,T0,primary,no,21.875,28.0,-6.125,False,True,279499,330604,775,"[14, 360]","[361, 753]",632,2026-08-11T22:30:30+09:00
1696,3,no,S,primary,no,21.75,31.875,-10.125,False,True,348524,86133,381,,,268,2026-08-11T22:30:31+09:00
1696,3,no,T0,primary,no,21.75,29.25,-7.5,False,True,348524,86133,775,"[14, 360]","[361, 753]",630,2026-08-11T22:30:31+09:00
1874,3,no,S,primary,no,22.25,26.5,-4.25,False,True,147165,459825,270,,,173,2026-08-11T22:30:31+09:00
1874,3,no,T0,primary,no,21.375,25.5,-4.125,False,True,147165,459825,618,"[14, 249]","[250, 596]",462,2026-08-11T22:30:32+09:00
366,3,no,S,primary,no,22.375,29.5,-7.125,False,True,575755,106909,381,,,268,2026-08-11T22:30:32+09:00
366,3,no,T0,primary,no,21.375,27.5,-6.125,False,True,575755,106909,775,"[14, 360]","[361, 753]",630,2026-08-11T22:30:33+09:00
1738,3,no,S,primary,no,22.875,30.75,-7.875,False,True,431615,373713,382,,,268,2026-08-11T22:30:33+09:00
1738,3,no,T0,primary,no,21.5,27.625,-6.125,False,True,431615,373713,601,"[14, 360]","[361, 578]",441,2026-08-11T22:30:34+09:00
1536,3,no,S,primary,no,22.625,24.375,-1.75,False,True,70813,187348,427,,,317,2026-08-11T22:30:34+09:00
1536,3,no,T0,primary,no,21.75,23.5,-1.75,False,True,70813,187348,775,"[14, 406]","[407, 753]",631,2026-08-11T22:30:35+09:00
1608,3,no,S,primary,no,22.5,28.125,-5.625,False,True,472143,139260,565,,,418,2026-08-11T22:30:35+09:00
1608,3,no,T0,primary,no,21.75,26.125,-4.375,False,True,472143,139260,890,"[14, 544]","[545, 868]",735,2026-08-11T22:30:36+09:00
428,3,no,S,primary,no,22.375,29.625,-7.25,False,True,80022,147494,381,,,269,2026-08-11T22:30:36+09:00
428,3,no,T0,primary,no,21.0,27.25,-6.25,False,True,80022,147494,729,"[14, 360]","[361, 707]",578,2026-08-11T22:30:37+09:00
334,3,no,S,primary,no,22.0,23.75,-1.75,False,True,217397,214349,427,,,316,2026-08-11T22:30:37+09:00
334,3,no,T0,primary,no,21.75,24.375,-2.625,False,True,217397,214349,821,"[14, 406]","[407, 799]",681,2026-08-11T22:30:38+09:00
1404,3,no,S,primary,no,21.625,29.875,-8.25,False,True,463522,556246,427,,,315,2026-08-11T22:30:38+09:00
1404,3,no,T0,primary,no,21.0,27.25,-6.25,False,True,463522,556246,706,"[14, 406]","[407, 684]",556,2026-08-11T22:30:39+09:00
142,3,no,S,primary,no,22.625,25.75,-3.125,False,True,542145,440067,270,,,173,2026-08-11T22:30:39+09:00
142,3,no,T0,primary,no,22.0,25.625,-3.625,False,True,542145,440067,687,"[14, 249]","[250, 665]",549,2026-08-11T22:30:40+09:00
1570,3,no,S,primary,no,21.75,30.0,-8.25,False,True,550691,502963,427,,,316,2026-08-11T22:30:40+09:00
1570,3,no,T0,primary,no,21.25,28.75,-7.5,False,True,550691,502963,821,"[14, 406]","[407, 799]",681,2026-08-11T22:30:41+09:00
276,3,no,S,primary,no,21.75,29.5,-7.75,False,True,205729,228297,428,,,315,2026-08-11T22:30:41+09:00
276,3,no,T0,primary,no,21.5,27.375,-5.875,False,True,205729,228297,799,"[14, 406]","[407, 776]",646,2026-08-11T22:30:42+09:00
1313,4,yes,S,primary,no,23.375,23.625,-0.25,False,False,333237,198464,382,,,268,2026-08-11T22:30:42+09:00
1313,4,yes,T0,primary,no,22.5,24.25,-1.75,False,False,333237,198464,730,"[14, 360]","[361, 707]",577,2026-08-11T22:30:43+09:00
1619,4,yes,S,primary,yes,25.75,23.625,2.125,False,True,214244,417339,382,,,269,2026-08-11T22:30:43+09:00
1619,4,yes,T0,primary,yes,22.875,22.625,0.25,False,True,214244,417339,776,"[14, 360]","[361, 753]",629,2026-08-11T22:30:44+09:00
599,4,yes,S,primary,yes,28.5,23.625,4.875,False,True,105732,326542,428,,,315,2026-08-11T22:30:44+09:00
599,4,yes,T0,primary,yes,23.5,22.875,0.625,False,True,105732,326542,822,"[14, 406]","[407, 799]",680,2026-08-11T22:30:45+09:00
1491,4,yes,S,primary,yes,24.0,22.625,1.375,False,True,302405,29059,270,,,173,2026-08-11T22:30:45+09:00
1491,4,yes,T0,primary,yes,22.25,22.0,0.25,False,True,302405,29059,664,"[14, 249]","[250, 642]",529,2026-08-11T22:30:45+09:00
221,4,yes,S,primary,yes,27.625,22.375,5.25,False,True,498759,499388,381,,,268,2026-08-11T22:30:46+09:00
221,4,yes,T0,primary,yes,23.5,21.75,1.75,False,True,498759,499388,618,"[14, 360]","[361, 596]",462,2026-08-11T22:30:46+09:00
1747,4,yes,S,primary,yes,31.0,22.75,8.25,False,True,246199,349402,381,,,269,2026-08-11T22:30:46+09:00
1747,4,yes,T0,primary,yes,28.0,23.625,4.375,False,True,246199,349402,775,"[14, 360]","[361, 753]",630,2026-08-11T22:30:47+09:00
1869,4,yes,S,primary,yes,22.75,22.375,0.375,False,True,304387,542938,382,,,269,2026-08-11T22:30:47+09:00
1869,4,yes,T0,primary,no,21.0,22.375,-1.375,False,False,304387,542938,730,"[14, 360]","[361, 707]",578,2026-08-11T22:30:48+09:00
553,4,yes,S,primary,no,23.125,24.5,-1.375,False,False,190185,329687,427,,,315,2026-08-11T22:30:48+09:00
553,4,yes,T0,primary,no,22.625,23.875,-1.25,False,False,190185,329687,775,"[14, 406]","[407, 753]",631,2026-08-11T22:30:49+09:00
2353,4,yes,S,primary,yes,28.5,23.25,5.25,False,True,44993,35368,381,,,268,2026-08-11T22:30:49+09:00
2353,4,yes,T0,primary,yes,26.0,23.0,3.0,False,True,44993,35368,868,"[14, 360]","[361, 846]",715,2026-08-11T22:30:50+09:00
2347,4,yes,S,primary,yes,30.375,22.625,7.75,False,True,477598,288579,252,,,154,2026-08-11T22:30:50+09:00
2347,4,yes,T0,primary,yes,28.5,23.5,5.0,False,True,477598,288579,600,"[14, 231]","[232, 578]",438,2026-08-11T22:30:51+09:00
873,4,yes,S,primary,no,22.5,24.625,-2.125,False,False,424642,440562,270,,,173,2026-08-11T22:30:51+09:00
873,4,yes,T0,primary,no,22.0,24.75,-2.75,False,False,424642,440562,664,"[14, 249]","[250, 642]",529,2026-08-11T22:30:51+09:00
2641,4,yes,S,primary,yes,27.125,23.125,4.0,False,True,429706,491856,358,,,256,2026-08-11T22:30:52+09:00
2641,4,yes,T0,primary,yes,24.25,22.625,1.625,False,True,429706,491856,706,"[14, 337]","[338, 684]",556,2026-08-11T22:30:52+09:00
685,4,yes,S,primary,yes,26.25,23.125,3.125,False,True,69196,198530,450,,,326,2026-08-11T22:30:53+09:00
685,4,yes,T0,primary,yes,23.625,22.25,1.375,False,True,69196,198530,844,"[14, 429]","[430, 822]",697,2026-08-11T22:30:53+09:00
1173,4,yes,S,primary,no,22.5,24.0,-1.5,False,False,513136,387098,427,,,315,2026-08-11T22:30:54+09:00
1173,4,yes,T0,primary,no,21.375,24.375,-3.0,False,False,513136,387098,821,"[14, 406]","[407, 799]",683,2026-08-11T22:30:54+09:00
1121,4,yes,S,primary,yes,29.375,22.75,6.625,False,True,574790,189744,381,,,269,2026-08-11T22:30:55+09:00
1121,4,yes,T0,primary,yes,25.375,22.75,2.625,False,True,574790,189744,775,"[14, 360]","[361, 753]",631,2026-08-11T22:30:55+09:00
347,4,yes,S,primary,yes,26.75,23.5,3.25,False,True,54025,128920,381,,,270,2026-08-11T22:30:56+09:00
347,4,yes,T0,primary,yes,23.375,22.125,1.25,False,True,54025,128920,729,"[14, 360]","[361, 707]",580,2026-08-11T22:30:56+09:00
315,4,yes,S,primary,yes,24.0,23.125,0.875,False,True,354229,168330,450,,,325,2026-08-11T22:30:57+09:00
315,4,yes,T0,primary,no,21.375,22.75,-1.375,False,False,354229,168330,775,"[14, 429]","[430, 753]",631,2026-08-11T22:30:57+09:00
2097,4,yes,S,primary,yes,29.875,23.375,6.5,False,True,114941,577924,381,,,269,2026-08-11T22:30:58+09:00
2097,4,yes,T0,primary,yes,24.75,23.0,1.75,False,True,114941,577924,775,"[14, 360]","[361, 753]",631,2026-08-11T22:30:58+09:00
225,4,yes,S,primary,yes,23.75,23.0,0.75,False,True,360600,465346,427,,,316,2026-08-11T22:30:59+09:00
225,4,yes,T0,primary,no,22.125,22.875,-0.75,False,False,360600,465346,959,"[14, 406]","[407, 937]",827,2026-08-11T22:31:00+09:00
1691,4,yes,S,primary,yes,30.125,23.0,7.125,False,True,331366,291936,427,,,316,2026-08-11T22:31:00+09:00
1691,4,yes,T0,primary,yes,26.125,21.875,4.25,False,True,331366,291936,821,"[14, 406]","[407, 799]",683,2026-08-11T22:31:01+09:00
1825,4,yes,S,primary,yes,26.625,24.0,2.625,False,True,198397,546569,330,,,243,2026-08-11T22:31:01+09:00
1825,4,yes,T0,primary,yes,24.0,22.75,1.25,False,True,198397,546569,724,"[14, 309]","[310, 702]",581,2026-08-11T22:31:01+09:00
2335,4,yes,S,primary,yes,26.0,23.625,2.375,False,True,405762,27484,381,,,268,2026-08-11T22:31:02+09:00
2335,4,yes,T0,primary,no,21.625,22.25,-0.625,False,False,405762,27484,660,"[14, 360]","[361, 638]",518,2026-08-11T22:31:02+09:00
2189,4,yes,S,primary,no,22.625,24.5,-1.875,False,False,332908,511430,427,,,316,2026-08-11T22:31:03+09:00
2189,4,yes,T0,primary,no,21.875,25.625,-3.75,False,False,332908,511430,775,"[14, 406]","[407, 753]",633,2026-08-11T22:31:03+09:00
1537,4,yes,S,primary,yes,28.25,23.625,4.625,False,True,318209,191342,427,,,317,2026-08-11T22:31:04+09:00
1537,4,yes,T0,primary,yes,25.125,22.875,2.25,False,True,318209,191342,844,"[14, 406]","[407, 822]",697,2026-08-11T22:31:04+09:00
1963,4,yes,S,primary,yes,30.0,22.875,7.125,False,True,379404,122020,404,,,293,2026-08-11T22:31:05+09:00
1963,4,yes,T0,primary,yes,26.625,22.375,4.25,False,True,379404,122020,936,"[14, 383]","[384, 914]",804,2026-08-11T22:31:06+09:00
2955,4,yes,S,primary,no,22.375,22.625,-0.25,False,False,323752,383223,382,,,269,2026-08-11T22:31:06+09:00
2955,4,yes,T0,primary,no,21.25,23.25,-2.0,False,False,323752,383223,601,"[14, 360]","[361, 578]",441,2026-08-11T22:31:06+09:00
467,4,yes,S,primary,yes,27.25,22.875,4.375,False,True,131018,266443,427,,,316,2026-08-11T22:31:07+09:00
467,4,yes,T0,primary,yes,25.25,22.125,3.125,False,True,131018,266443,821,"[14, 406]","[407, 799]",683,2026-08-11T22:31:07+09:00
615,4,yes,S,primary,yes,26.625,22.75,3.875,False,True,580294,69340,404,,,291,2026-08-11T22:31:08+09:00
615,4,yes,T0,primary,yes,24.125,22.375,1.75,False,True,580294,69340,752,"[14, 383]","[384, 730]",590,2026-08-11T22:31:08+09:00
1075,4,yes,S,primary,yes,26.375,23.0,3.375,False,True,227204,263178,427,,,316,2026-08-11T22:31:09+09:00
1075,4,yes,T0,primary,yes,23.875,22.75,1.125,False,True,227204,263178,867,"[14, 406]","[407, 845]",720,2026-08-11T22:31:09+09:00
1061,4,yes,S,primary,yes,29.25,23.75,5.5,False,True,303534,545564,404,,,291,2026-08-11T22:31:10+09:00
1061,4,yes,T0,primary,yes,25.375,22.25,3.125,False,True,303534,545564,752,"[14, 383]","[384, 730]",591,2026-08-11T22:31:10+09:00
1314,1,no,S,primary,no,23.0,27.75,-4.75,False,True,333237,527219,381,,,269,2026-08-11T22:31:11+09:00
2274,1,no,S,primary,no,22.625,30.75,-8.125,False,True,68418,96183,427,,,316,2026-08-11T22:31:11+09:00
2638,1,no,S,primary,no,21.25,30.75,-9.5,False,True,16451,359925,520,,,381,2026-08-11T22:31:11+09:00
1200,1,no,S,primary,no,22.375,27.875,-5.5,False,True,375909,262938,358,,,256,2026-08-11T22:31:12+09:00
368,1,no,S,primary,no,23.0,28.125,-5.125,False,True,354088,386912,381,,,269,2026-08-11T22:31:12+09:00
1502,1,no,S,primary,no,22.5,23.75,-1.25,False,True,384040,424247,404,,,292,2026-08-11T22:31:12+09:00
2012,1,no,S,primary,no,22.375,25.5,-3.125,False,True,501294,91654,428,,,315,2026-08-11T22:31:13+09:00
72,1,no,S,primary,no,23.5,29.5,-6.0,False,True,353180,577355,382,,,269,2026-08-11T22:31:13+09:00
266,1,no,S,primary,no,22.375,26.625,-4.25,False,True,454642,514016,271,,,173,2026-08-11T22:31:13+09:00
2580,1,no,S,primary,no,22.75,30.5,-7.75,False,True,516601,468902,335,,,247,2026-08-11T22:31:13+09:00
56,1,no,S,primary,no,22.75,29.75,-7.0,False,True,17708,192128,428,,,315,2026-08-11T22:31:14+09:00
562,1,no,S,primary,no,21.75,26.125,-4.375,False,True,209755,378284,382,,,269,2026-08-11T22:31:14+09:00
1444,1,no,S,primary,no,22.625,26.5,-3.875,False,True,407386,160811,427,,,316,2026-08-11T22:31:14+09:00
594,1,no,S,primary,no,22.5,28.625,-6.125,False,True,557016,400815,450,,,325,2026-08-11T22:31:15+09:00
1804,1,no,S,primary,no,21.875,30.625,-8.75,False,True,465418,82889,382,,,269,2026-08-11T22:31:15+09:00
120,1,no,S,primary,no,22.25,29.875,-7.625,False,True,381895,32375,234,,,150,2026-08-11T22:31:15+09:00
252,1,no,S,primary,no,22.5,29.75,-7.25,False,True,456178,168683,427,,,317,2026-08-11T22:31:16+09:00
616,1,no,S,primary,no,22.5,27.875,-5.375,False,True,580294,516244,405,,,293,2026-08-11T22:31:16+09:00
2998,1,no,S,primary,no,22.375,25.375,-3.0,False,True,277289,24104,427,,,316,2026-08-11T22:31:16+09:00
724,1,no,S,primary,no,21.875,32.25,-10.375,False,True,538054,46805,427,,,316,2026-08-11T22:31:17+09:00
1014,1,no,S,primary,no,22.25,23.0,-0.75,False,True,273450,209782,542,,,395,2026-08-11T22:31:17+09:00
2296,1,no,S,primary,no,22.375,25.75,-3.375,False,True,390157,409856,427,,,316,2026-08-11T22:31:17+09:00
320,1,no,S,primary,no,22.125,31.625,-9.5,False,True,538236,436808,381,,,269,2026-08-11T22:31:18+09:00
1744,1,no,S,primary,no,21.625,31.75,-10.125,False,True,343401,510585,272,,,173,2026-08-11T22:31:18+09:00
984,1,no,S,primary,no,22.875,26.125,-3.25,False,True,197219,355430,381,,,270,2026-08-11T22:31:18+09:00
2866,1,no,S,primary,no,22.5,27.375,-4.875,False,True,45685,84031,271,,,174,2026-08-11T22:31:18+09:00
2032,1,no,S,primary,no,22.0,32.5,-10.5,False,True,454607,245013,427,,,317,2026-08-11T22:31:19+09:00
88,1,no,S,primary,no,22.25,25.75,-3.5,False,True,219622,453841,252,,,155,2026-08-11T22:31:19+09:00
2472,1,no,S,primary,no,23.5,31.5,-8.0,False,True,458325,245447,382,,,269,2026-08-11T22:31:19+09:00
70,1,no,S,primary,no,22.625,28.25,-5.625,False,True,353180,45864,381,,,269,2026-08-11T22:31:19+09:00
406,1,no,S,primary,no,22.875,27.125,-4.25,False,True,528905,200717,381,,,269,2026-08-11T22:31:20+09:00
770,1,no,S,primary,no,21.625,30.625,-9.0,False,True,203479,389401,270,,,174,2026-08-11T22:31:20+09:00
600,1,no,S,primary,no,22.0,28.0,-6.0,False,True,105732,29138,428,,,316,2026-08-11T22:31:20+09:00
828,1,no,S,primary,no,22.375,28.75,-6.375,False,True,327532,243875,382,,,270,2026-08-11T22:31:20+09:00
2190,1,no,S,primary,no,21.625,25.5,-3.875,False,True,332908,181576,427,,,316,2026-08-11T22:31:21+09:00
2066,1,no,S,primary,no,22.125,28.625,-6.5,False,True,76416,159320,427,,,316,2026-08-11T22:31:21+09:00
740,1,no,S,primary,no,23.375,32.25,-8.875,False,True,65001,16030,428,,,316,2026-08-11T22:31:21+09:00
184,1,no,S,primary,no,22.625,27.625,-5.0,False,True,291936,70321,427,,,316,2026-08-11T22:31:22+09:00
2640,1,no,S,primary,no,23.5,28.0,-4.5,False,True,16451,95062,521,,,384,2026-08-11T22:31:22+09:00
180,1,no,S,primary,no,21.375,30.75,-9.375,False,True,288639,11537,428,,,315,2026-08-11T22:31:23+09:00
2824,1,no,S,primary,no,23.125,28.25,-5.125,False,True,230175,495533,405,,,293,2026-08-11T22:31:23+09:00
2148,1,no,S,primary,yes,26.625,23.625,3.0,False,False,156704,244815,382,,,270,2026-08-11T22:31:23+09:00
802,1,no,S,primary,no,22.125,27.5,-5.375,False,True,147289,497791,520,,,382,2026-08-11T22:31:24+09:00
2350,1,no,S,primary,no,22.5,32.5,-10.0,False,True,477598,445371,253,,,155,2026-08-11T22:31:24+09:00
2194,1,no,S,primary,no,22.5,24.375,-1.875,False,True,372819,569839,381,,,270,2026-08-11T22:31:24+09:00
888,1,no,S,primary,no,22.125,26.625,-4.5,False,True,87435,421499,335,,,248,2026-08-11T22:31:24+09:00
2858,1,no,S,primary,no,21.5,30.625,-9.125,False,True,560744,453310,427,,,316,2026-08-11T22:31:25+09:00
2146,1,no,S,primary,no,21.75,28.0,-6.25,False,True,156704,108528,381,,,270,2026-08-11T22:31:25+09:00
1210,1,no,S,primary,no,23.25,24.375,-1.125,False,True,124930,502749,382,,,269,2026-08-11T22:31:25+09:00
1942,1,no,S,primary,no,22.625,26.5,-3.875,False,True,172342,541562,381,,,270,2026-08-11T22:31:25+09:00
2719,2,yes,S,primary,yes,26.75,23.5,3.25,False,True,367528,12669,381,,,270,2026-08-11T22:31:26+09:00
1461,2,yes,S,primary,yes,29.875,22.0,7.875,False,True,115626,314836,427,,,317,2026-08-11T22:31:26+09:00
385,2,yes,S,primary,yes,24.5,23.0,1.5,False,True,350898,204471,427,,,317,2026-08-11T22:31:26+09:00
2595,2,yes,S,primary,yes,30.625,23.0,7.625,False,True,299986,405135,427,,,316,2026-08-11T22:31:27+09:00
1993,2,yes,S,primary,yes,28.875,23.625,5.25,False,True,172648,403862,427,,,317,2026-08-11T22:31:27+09:00
1305,2,yes,S,primary,yes,23.625,23.25,0.375,False,True,355342,260618,381,,,270,2026-08-11T22:31:27+09:00
1877,2,yes,S,primary,yes,23.125,23.0,0.125,False,True,147165,215244,270,,,173,2026-08-11T22:31:28+09:00
913,2,yes,S,primary,yes,28.375,23.375,5.0,False,True,539251,575356,358,,,257,2026-08-11T22:31:28+09:00
99,2,yes,S,primary,no,22.375,30.125,-7.75,False,False,482476,489207,381,,,271,2026-08-11T22:31:28+09:00
1443,2,yes,S,primary,no,22.75,23.25,-0.5,False,False,407386,568281,427,,,317,2026-08-11T22:31:29+09:00
2597,2,yes,S,primary,yes,25.125,22.5,2.625,False,True,299986,466229,428,,,316,2026-08-11T22:31:29+09:00
2289,2,yes,S,primary,yes,30.0,23.625,6.375,False,True,21327,556183,381,,,270,2026-08-11T22:31:29+09:00
1603,2,yes,S,primary,yes,26.125,23.5,2.625,False,True,472143,516396,565,,,416,2026-08-11T22:31:30+09:00
2881,2,yes,S,primary,no,21.125,30.875,-9.75,False,False,69863,452122,381,,,271,2026-08-11T22:31:30+09:00
2123,2,yes,S,primary,yes,27.125,23.125,4.0,False,True,467887,214919,427,,,317,2026-08-11T22:31:30+09:00
2007,2,yes,S,primary,yes,24.25,23.875,0.375,False,True,263594,390298,288,,,186,2026-08-11T22:31:30+09:00
2005,2,yes,S,primary,yes,30.0,23.25,6.75,False,True,263594,391144,288,,,186,2026-08-11T22:31:31+09:00
827,2,yes,S,primary,yes,25.25,23.75,1.5,False,True,327532,363343,382,,,270,2026-08-11T22:31:31+09:00
2403,2,yes,S,primary,yes,23.875,23.0,0.875,False,True,328301,182785,381,,,271,2026-08-11T22:31:31+09:00
533,2,yes,S,primary,yes,24.25,22.75,1.5,False,True,427113,328805,427,,,318,2026-08-11T22:31:32+09:00
2689,2,yes,S,primary,yes,30.5,23.25,7.25,False,True,265472,314125,270,,,174,2026-08-11T22:31:32+09:00
2975,2,yes,S,primary,yes,30.875,24.0,6.875,False,True,15738,537710,382,,,270,2026-08-11T22:31:32+09:00
189,2,yes,S,primary,yes,24.25,23.25,1.0,False,True,63953,255482,252,,,156,2026-08-11T22:31:32+09:00
1659,2,yes,S,primary,no,22.875,23.625,-0.75,False,False,442809,469936,381,,,270,2026-08-11T22:31:32+09:00
2291,2,yes,S,primary,yes,27.375,24.0,3.375,False,True,21327,73738,382,,,270,2026-08-11T22:31:33+09:00
1519,2,yes,S,primary,no,23.0,24.625,-1.625,False,False,365822,20781,429,,,317,2026-08-11T22:31:33+09:00
1797,2,yes,S,primary,no,23.0,23.125,-0.125,False,False,100238,523660,427,,,317,2026-08-11T22:31:33+09:00
1671,2,yes,S,primary,yes,31.5,23.75,7.75,False,True,97994,36660,381,,,270,2026-08-11T22:31:34+09:00
1501,2,yes,S,primary,no,21.25,23.875,-2.625,False,False,384040,293574,404,,,293,2026-08-11T22:31:34+09:00
2619,2,yes,S,primary,no,23.5,26.5,-3.0,False,False,222118,201526,381,,,270,2026-08-11T22:31:34+09:00
2667,2,yes,S,primary,no,23.125,23.875,-0.75,False,False,123570,298699,381,,,271,2026-08-11T22:31:35+09:00
917,2,yes,S,primary,yes,23.75,23.375,0.375,False,True,539251,312746,360,,,257,2026-08-11T22:31:35+09:00
843,2,yes,S,primary,no,22.125,25.5,-3.375,False,False,443240,465549,427,,,316,2026-08-11T22:31:35+09:00
509,2,yes,S,primary,yes,25.625,23.0,2.625,False,True,148766,100711,427,,,317,2026-08-11T22:31:36+09:00
541,2,yes,S,primary,no,23.375,23.375,0.0,True,False,13348,86468,381,,,271,2026-08-11T22:31:36+09:00
41,2,yes,S,primary,yes,23.0,22.25,0.75,False,True,265719,12268,427,,,318,2026-08-11T22:31:36+09:00
2973,2,yes,S,primary,yes,29.5,23.75,5.75,False,True,15738,515350,382,,,271,2026-08-11T22:31:37+09:00
763,2,yes,S,primary,no,23.375,24.625,-1.25,False,False,518177,19036,404,,,292,2026-08-11T22:31:37+09:00
149,2,yes,S,primary,no,23.0,30.375,-7.375,False,False,218224,256195,335,,,247,2026-08-11T22:31:37+09:00
1271,2,yes,S,primary,no,22.25,30.75,-8.5,False,False,244455,572980,427,,,318,2026-08-11T22:31:37+09:00
343,2,yes,S,primary,yes,23.75,23.125,0.625,False,True,54025,14880,382,,,270,2026-08-11T22:31:38+09:00
35,2,yes,S,primary,no,23.25,29.375,-6.125,False,False,283412,252629,381,,,270,2026-08-11T22:31:38+09:00
2371,2,yes,S,primary,yes,23.875,23.125,0.75,False,True,325347,279138,335,,,247,2026-08-11T22:31:38+09:00
1585,2,yes,S,primary,no,22.375,23.125,-0.75,False,False,198312,142879,427,,,316,2026-08-11T22:31:39+09:00
1885,2,yes,S,primary,yes,30.875,23.25,7.625,False,True,312406,168175,427,,,317,2026-08-11T22:31:39+09:00
1153,2,yes,S,primary,yes,22.625,21.5,1.125,False,True,376959,459382,427,,,318,2026-08-11T22:31:39+09:00
